"X","Y","PE_before","PE_after","optimal_N_tau","N_min","ba_flag","PE_optimal","max_N_tau_before","max_N_tau_after"
1.05,0.05,0,30000,2348.04898791684,2348.04898791684,0,0.983814063642958,2348.04898791684,32348.0489879168
1.1,0.05,0,30000,2818.9373225095,2818.9373225095,0,0.981152487843332,2818.9373225095,32818.9373225095
1.15,0.05,0,30000,3391.43564591466,3391.43564591466,0,0.977888434348741,3391.43564591466,33391.4356459147
1.2,0.05,0,30000,4088.28243216549,4088.28243216549,0,0.973994731298788,4088.28243216549,34088.2824321655
1.25,0.05,10000.0000000001,30000.0000000001,4937.15886896525,4937.15886896525,0,0.969179187122798,14937.1588689653,34937.1588689653
1.3,0.05,10000,30000,5971.62101514419,5971.62101514419,0,0.963277775896129,15971.6210151442,35971.6210151442
1.35,0.05,9999.99999999999,30000,7231.93355825571,7231.93355825571,0,0.95600734638591,17231.9335582557,37231.9335582557
1.4,0.05,10000,30000,8766.01365247498,8766.01365247498,0,0.947005353287011,18766.013652475,38766.013652475
1.45,0.05,0,30000,10629.9764779616,10629.9764779616,0,0.935669452525787,10629.9764779616,40629.9764779616
1.5,0.05,0,30000,12888.8112451242,12888.8112451242,0,0.921482938447898,12888.8112451242,42888.8112451242
1.55,0.05,0,30000,15615.8568844289,15615.8568844289,0,0.903457824476918,15615.8568844289,45615.8568844289
1.6,0.05,0,20000,18891.6572197699,18891.6572197699,0,0.880689621124237,18891.6572197699,38891.6572197699
1.65,0.05,0,20000,22801.8260963842,22801.8260963842,0,0.851835104482761,22801.8260963842,42801.8260963842
1.7,0.05,0,10000,27433.3555708065,27433.3555708065,0,0.814473146057453,27433.3555708065,37433.3555708065
1.75,0.05,0,0,42868.7847453952,32868.7847453952,1,0.771416837456289,0,0
1.8,0.05,0,0,49180.3193257448,39180.3193257448,1,0.719949088112486,0,0
1.85,0.05,0,0,56422.2554945724,46422.2554945724,1,0.651035073464607,0,0
1.9,0.05,0,0,64624.4417166747,54624.4417166747,1,0.558169420894102,0,0
1.95,0.05,0,0,83786.1966607732,63786.1966607732,1,0.432151743381872,0,0
2,0.05,0,0,103875.092239297,73875.0922392966,1,0.260602103803773,0,0
2.05,0.05,0,0,244826.66246,84826.6624599995,1,0.0332043203805334,0,0
2.1,0.05,0,0,456549.328321735,96549.328321735,1,1.18876117917699e-05,0,0
2.15,0.05,0,0,348931.083750559,108931.083750559,1,1.07226139754763e-09,0,0
2.2,0.05,0,0,291847.909495046,121847.909495046,1,1.14768208215115e-13,0,0
2.25,0.05,0,0,265172.01463891,135172.01463891,1,1.6819308505976e-17,0,0
2.3,0.05,0,0,248779.150620123,148779.150620123,1,3.45855325026323e-21,0,0
2.35,0.05,0,0,242553.894738471,162553.894738471,1,9.94720927898437e-25,0,0
2.4,0.05,0,0,236393.440631559,176393.440631559,1,3.95365500545041e-28,0,0
2.45,0.05,0,0,240209.370855684,190209.370855684,1,2.13962779051925e-31,0,0
2.5,0.05,0,0,253927.766955225,203927.766955225,1,1.55243256650048e-34,0,0
2.55,0.05,0,0,257488.689440565,217488.689440565,1,1.48651033027272e-37,0,0
2.6,0.05,0,0,270844.907934746,230844.907934746,1,1.85186075574557e-40,0,0
2.65,0.05,0,0,283960.202741424,243960.202741423,1,2.95839021056034e-43,0,0
2.7,0.05,0,0,296807.869853351,256807.869853351,1,5.98159876635571e-46,0,0
2.75,0.05,0,0,309369.114689156,269369.114689156,1,1.51186612223348e-48,0,0
2.8,0.05,0,0,321631.563564807,281631.563564807,1,4.72188401593338e-51,0,0
2.85,0.05,0,0,333587.973739943,293587.973739943,1,1.8025095242218e-53,0,0
2.9,0.05,0,0,345235.284108113,305235.284108113,1,8.32587277585133e-56,0,0
2.95,0.05,0,0,346573.37254528,316573.37254528,1,4.60886613886296e-58,0,0
3,0.05,0,0,357604.982526976,327604.982526976,1,3.03063392667365e-60,0,0
0.2,0.1,490000,490000,101.282452183114,101.282452183114,0,1,490101.282452183,490101.282452183
0.25,0.1,9999.99999999997,9999.99999999997,121.21441399423,121.21441399423,0,0.999531862358832,10121.2144139942,10121.2144139942
0.3,0.1,0,9999.99999999999,142.935562579108,142.935562579108,0,0.999161253110351,142.935562579108,10142.9355625791
0.35,0.1,0,9999.99999999999,167.93624443201,167.93624443201,0,0.998822464415821,167.93624443201,10167.936244432
0.4,0.1,0,9999.99999999998,197.05513737942,197.05513737942,0,0.998490489180074,197.05513737942,10197.0551373794
0.45,0.1,0,10000,231.184964021758,231.184964021758,0,0.998151556711217,231.184964021758,10231.1849640218
0.5,0.1,0,20000,271.362935001313,271.362935001313,0,0.997789700026828,271.362935001313,20271.3629350013
0.55,0.1,0,20000,318.831616154346,318.831616154346,0,0.9973991319297,318.831616154346,20318.8316161543
0.6,0.1,0,20000,375.088877939768,375.088877939768,0,0.996962382773009,375.088877939768,20375.0888779398
0.65,0.1,0,20000,441.95757808454,441.95757808454,0,0.996481682436506,441.95757808454,20441.9575780845
0.7,0.1,0,20000,521.664650744945,521.664650744945,0,0.995933535112519,521.664650744945,20521.6646507449
0.75,0.1,0,20000,616.931865706377,616.931865706377,0,0.995313178511994,616.931865706377,20616.9318657064
0.8,0.1,0,30000,731.101978539703,731.101978539703,0,0.994595464763047,731.101978539703,30731.1019785397
0.85,0.1,0,30000,868.286801298398,868.286801298398,0,0.993773041410506,868.286801298398,30868.2868012984
