"D1","D2","norm_auc"
1.46,1.04,0.0633508593654827
1.48,1.04,0.0625302963098827
1.5,1.04,0.0618407886817816
1.52,1.04,0.0610213633117802
1.54,1.04,0.0603435896770403
1.56,1.04,0.0595729742167753
1.58,1.04,0.0588354585140852
1.6,1.04,0.0582390773919067
1.62,1.04,0.0575672411661578
1.64,1.04,0.0570265113255774
1.66,1.04,0.0563525873462545
1.68,1.04,0.0557831841529998
1.7,1.04,0.0553116916116333
1.72,1.04,0.054638130696026
1.74,1.04,0.0542498160443556
1.76,1.04,0.0535802452318223
1.78,1.04,0.0532258184170211
1.8,1.04,0.0528389384725136
1.82,1.04,0.0521970256243501
1.84,1.04,0.0520274351383166
1.86,1.04,0.0514715113313017
1.88,1.04,0.0510884838232172
1.9,1.04,0.0507503433871675
1.92,1.04,0.0504571151890472
1.94,1.04,0.0500148597023547
1.96,1.04,0.0496211786881565
1.98,1.04,0.0491666166991019
2,1.04,0.0487072763952068
2.02,1.04,0.0485330884501919
2.04,1.04,0.0483519922173751
2.06,1.04,0.0477102780403144
2.08,1.04,0.0475296122269552
2.1,1.04,0.0472284164913805
2.12,1.04,0.0470726232731695
2.14,1.04,0.0467882417251106
2.16,1.04,0.0464549097964515
2.18,1.04,0.046231823597256
2.2,1.04,0.0458252275770027
2.22,1.04,0.0457977163491747
2.24,1.04,0.0454863311374379
2.26,1.04,0.0451564794438317
2.28,1.04,0.0448856229867289
2.3,1.04,0.0447472848457122
2.32,1.04,0.0445683233323629
2.34,1.04,0.0441894332588441
2.36,1.04,0.0439869379125966
2.38,1.04,0.0440816916416071
2.4,1.04,0.0438335646648161
2.42,1.04,0.0435202962174294
2.44,1.04,0.0434918531443969
2.46,1.04,0.043220958670315
2.48,1.04,0.043136124647861
2.5,1.04,0.0427276481840859
2.52,1.04,0.0426930979295227
2.54,1.04,0.0425237303412432
2.56,1.04,0.0421491777350965
2.58,1.04,0.0419668635477071
2.6,1.04,0.0420457088041266
2.62,1.04,0.0417937358558859
2.64,1.04,0.0416361108903553
2.66,1.04,0.0416593243425473
2.68,1.04,0.0413778621421898
2.7,1.04,0.0413647621415872
2.72,1.04,0.041102175206879
2.74,1.04,0.0409684431892101
2.76,1.04,0.0406982455018295
2.78,1.04,0.0409375085770835
2.8,1.04,0.0406317336164864
2.82,1.04,0.0405157733438029
2.84,1.04,0.0402968264643916
2.86,1.04,0.0402710073638733
2.88,1.04,0.040107755413099
2.9,1.04,0.039935192742375
2.92,1.04,0.0398683834264959
2.94,1.04,0.0396547676516214
2.96,1.04,0.039777622432304
2.98,1.04,0.0395632997505537
